Time, Currents, Velocities, Positions
3.685474395751953125e-03,9.700000000000000289e-03,0.000000000000000000e+00,-3.031187761296537109e-01
1.468181610107421875e-02,9.499999999999999764e-03,0.000000000000000000e+00,-3.031187761296537109e-01
3.104376792907714844e-02,8.715000149999999612e-01,4.712388980384689396e-02,-3.029265069521746567e-01
4.638242721557617188e-02,9.354000089999999767e-01,6.283185307179585399e-02,-3.028027147241907358e-01
6.151437759399414062e-02,9.684000019999999820e-01,7.853981633974482790e-02,-3.018366749832118723e-01
7.751798629760742188e-02,1.019299984000000103e+00,9.424777960769378793e-02,-3.016620159091047415e-01
9.342885017395019531e-02,9.585999849999999878e-01,7.853981633974482790e-02,-3.007330371596692031e-01
1.094286441802978516e-01,9.758999940000000484e-01,9.424777960769378793e-02,-3.005329140319720760e-01
1.254265308380126953e-01,9.057999850000000297e-01,1.099557428756427618e-01,-2.991308249063384106e-01
1.407642364501953125e-01,9.307000039999999697e-01,1.413716694115406958e-01,-2.988128920541316957e-01
1.567938327789306641e-01,9.190000299999999678e-01,2.042035224833365359e-01,-2.965214315571151338e-01
1.731090545654296875e-01,9.609000090000000549e-01,1.727875959474386158e-01,-2.961541658670620580e-01
1.886930465698242188e-01,8.461999890000000413e-01,2.199114857512855237e-01,-2.933895643319030522e-01
2.046911716461181641e-01,8.506000040000000206e-01,2.199114857512855237e-01,-2.929362423137590876e-01
2.206799983978271484e-01,9.571999909999999723e-01,2.670353755551324038e-01,-2.895216317811398765e-01
2.366695404052734375e-01,9.804000259999999800e-01,2.513274122871834160e-01,-2.890130251150355156e-01
2.521851062774658203e-01,8.169999719999999632e-01,2.670353755551324038e-01,-2.853923395817732911e-01
2.676625251770019531e-01,8.558999900000000549e-01,2.984513020910303238e-01,-2.847445394695237164e-01
2.838459014892578125e-01,9.527999759999999929e-01,2.984513020910303238e-01,-2.808803805056082625e-01
2.999603748321533203e-01,9.514999990000000407e-01,2.984513020910303238e-01,-2.802419990766297775e-01
3.150093555450439453e-01,9.107999799999999535e-01,3.612831551628262194e-01,-2.755729603992012056e-01
3.310816287994384766e-01,1.013000010999999922e+00,3.298672286269282439e-01,-2.748268321439736317e-01
3.470485210418701172e-01,8.610000009999999593e-01,4.241150082346220596e-01,-2.689756158266626285e-01
3.630990982055664062e-01,9.128999709999999768e-01,4.084070449666730718e-01,-2.681116778469254114e-01
3.790018558502197266e-01,1.032899975999999942e+00,4.555309347705199796e-01,-2.624096871806599340e-01
3.950026035308837891e-01,8.410999770000000542e-01,4.712388980384689674e-01,-2.614081511183589668e-01
4.129984378814697266e-01,8.058000210000000330e-01,5.026548245743668319e-01,-2.546929968213107465e-01
4.258038997650146484e-01,1.025099992999999987e+00,5.026548245743668319e-01,-2.536248553190902366e-01
4.411666393280029297e-01,8.658999800000000135e-01,5.497787143782137953e-01,-2.464503965004238295e-01
4.574785232543945312e-01,1.071900010000000014e+00,5.340707511102648075e-01,-2.453351311083994679e-01
4.730098247528076172e-01,1.011700033999999970e+00,5.497787143782137953e-01,-2.378147902898996024e-01
4.890170097351074219e-01,1.017300010000000032e+00,5.497787143782137953e-01,-2.366643353844916364e-01
5.051522254943847656e-01,8.540999889999999484e-01,5.654866776461627831e-01,-2.291282866027238296e-01
5.202605724334716797e-01,1.054000019999999926e+00,5.654866776461627831e-01,-2.279602522558882571e-01
5.368783473968505859e-01,9.017999770000000304e-01,5.497787143782137953e-01,-2.209111350044547228e-01
5.839774608612060547e-01,1.011800051000000034e+00,5.654866776461627831e-01,-2.197035086419544536e-01
6.162633895874023438e-01,1.027699946999999892e+00,5.654866776461627831e-01,-2.119085852742040588e-01
6.307399272918701172e-01,8.061000109999999497e-01,5.654866776461627831e-01,-2.106833641393040524e-01
6.458325386047363281e-01,9.304000140000000529e-01,6.126105674500096354e-01,-2.016748472051353158e-01
6.618399620056152344e-01,9.197999839999999594e-01,6.440264939859076110e-01,-2.003299448675660288e-01
6.777439117431640625e-01,9.366000289999999451e-01,6.597344572538564877e-01,-1.919927746281606673e-01
7.253868579864501953e-01,9.144999980000000361e-01,6.597344572538564877e-01,-1.905910076414376597e-01
7.504754066467285156e-01,1.093299985000000030e+00,6.754424205218054755e-01,-1.813094728282394763e-01
7.726085186004638672e-01,8.871999980000000452e-01,6.754424205218054755e-01,-1.798800481708561216e-01
7.876157760620117188e-01,1.011000037000000074e+00,6.911503837897544633e-01,-1.704668977785684103e-01
8.033170700073242188e-01,1.069900035999999943e+00,6.754424205218054755e-01,-1.690453271028190263e-01
8.193206787109375000e-01,9.448999759999999748e-01,6.283185307179586232e-01,-1.598897934342314031e-01
8.354396820068359375e-01,9.383000139999999600e-01,6.754424205218054755e-01,-1.584484190694556704e-01
8.508567810058593750e-01,8.842999940000000336e-01,6.597344572538564877e-01,-1.493299463924112891e-01
8.919634819030761719e-01,9.038000109999999587e-01,6.597344572538564877e-01,-1.479240836799298464e-01
9.196431636810302734e-01,1.037400007000000013e+00,7.068583470577034511e-01,-1.384345870883727792e-01
9.438407421112060547e-01,9.530000090000000368e-01,7.068583470577034511e-01,-1.369382501831313548e-01
9.599082469940185547e-01,9.178000090000000277e-01,7.225663103256524389e-01,-1.263275209956318534e-01
9.753119945526123047e-01,8.806999920000000426e-01,7.382742735936013156e-01,-1.247746338832454172e-01
9.899082183837890625e-01,8.981999750000000393e-01,7.225663103256524389e-01,-1.168421124329311889e-01
1.039432048797607422e+00,1.016600012999999914e+00,7.382742735936013156e-01,-1.152574949520001474e-01
1.053376674652099609e+00,9.800000190000000000e-01,7.068583470577034511e-01,-1.051572745707089751e-01
1.068548202514648438e+00,8.982999919999999916e-01,7.068583470577034511e-01,-1.036317153245861072e-01
1.084543228149414062e+00,9.990000129999999645e-01,7.225663103256524389e-01,-9.359621360549853775e-02
1.100532054901123047e+00,1.044899940000000083e+00,7.068583470577034511e-01,-9.208039515014145027e-02
1.116774797439575195e+00,9.897999760000000258e-01,7.225663103256524389e-01,-8.205274738127193990e-02
1.131929874420166016e+00,8.835999970000000259e-01,7.539822368615503034e-01,-8.044676154109342558e-02
1.148018598556518555e+00,8.600000140000000348e-01,7.853981633974482790e-01,-6.992619973841533720e-02
1.183343172073364258e+00,9.499999879999999619e-01,7.696902001294992912e-01,-6.829068478083274996e-02
1.196565866470336914e+00,9.025999900000000187e-01,7.853981633974482790e-01,-5.739124121784902610e-02
1.210565567016601562e+00,1.102100014999999988e+00,7.853981633974482790e-01,-5.573813532060970660e-02
1.226648807525634766e+00,1.049299954999999951e+00,8.011061266653972668e-01,-4.561812274852127674e-02
1.242444276809692383e+00,9.376000169999999523e-01,7.696902001294992912e-01,-4.398638137778640433e-02
1.257537841796875000e+00,9.437000159999999749e-01,7.539822368615503034e-01,-3.343063006172469764e-02
1.274158000946044922e+00,9.484999779999999658e-01,7.382742735936013156e-01,-3.184820999919114881e-02
1.289608955383300781e+00,8.841999769999999703e-01,7.853981633974482790e-01,3.357420153714413442e-03
1.305788755416870117e+00,8.831999900000000459e-01,8.011061266653972668e-01,5.075243029263682738e-03
1.322130203247070312e+00,8.985999820000000193e-01,7.696902001294992912e-01,2.862147948725550853e-02
1.366153717041015625e+00,9.319000240000000490e-01,7.696902001294992912e-01,3.027081563039014933e-02
1.387415647506713867e+00,9.393000009999999955e-01,7.539822368615503034e-01,4.024348741906062787e-02
1.403694868087768555e+00,1.031499981999999926e+00,7.696902001294992912e-01,4.189471037132708187e-02
1.415801048278808594e+00,9.990000129999999645e-01,8.011061266653972668e-01,5.211682470465718586e-02
1.430895805358886719e+00,8.909000160000000168e-01,8.168140899333461435e-01,5.385632439987021736e-02
1.446852207183837891e+00,9.886999730000000097e-01,8.325220532012951313e-01,6.528983484980524499e-02
1.462852239608764648e+00,8.883000020000000330e-01,8.325220532012951313e-01,6.704912673581553406e-02
1.478843450546264648e+00,8.993999959999999794e-01,8.325220532012951313e-01,7.768750592848931713e-02
1.495061635971069336e+00,8.661000129999999464e-01,8.168140899333461435e-01,7.941318063682319128e-02
1.510270357131958008e+00,9.312999840000000251e-01,7.853981633974482790e-01,1.156593058776154287e-01
1.526287078857421875e+00,1.080800055999999953e+00,7.853981633974482790e-01,1.173557659105539108e-01
1.543486595153808594e+00,1.032799959000000101e+00,8.325220532012951313e-01,1.361151621127573152e-01
1.557492256164550781e+00,1.060400009000000088e+00,8.168140899333461435e-01,1.378490052447338687e-01
1.573489427566528320e+00,9.624999760000000348e-01,8.011061266653972668e-01,1.539320728533977167e-01
1.590219020843505859e+00,9.291999939999999736e-01,7.853981633974482790e-01,1.556128249230682437e-01
1.605865001678466797e+00,9.635999800000000226e-01,7.853981633974482790e-01,1.657717967626449462e-01
1.621495723724365234e+00,1.016499996000000072e+00,8.011061266653972668e-01,1.674487752454678069e-01
1.637472391128540039e+00,8.396999840000000104e-01,8.168140899333461435e-01,1.785935751840775909e-01
1.652678728103637695e+00,9.796000120000000200e-01,8.325220532012951313e-01,1.803450130884539093e-01
1.668541193008422852e+00,9.297000170000000452e-01,8.639379797371931069e-01,1.919019936588780562e-01
1.683712959289550781e+00,9.703000189999999581e-01,8.325220532012951313e-01,1.936496579764066805e-01
1.699779748916625977e+00,9.124000070000000129e-01,8.168140899333461435e-01,2.051262119213592972e-01
1.714679002761840820e+00,8.445000049999999980e-01,8.168140899333461435e-01,2.068559746899654717e-01
1.730410099029541016e+00,9.456999900000000459e-01,7.853981633974482790e-01,2.171525446121060077e-01
1.745490789413452148e+00,9.714000229999999458e-01,7.853981633974482790e-01,2.188254427001425917e-01
1.761193990707397461e+00,8.443999890000000175e-01,8.011061266653972668e-01,2.482935817908148435e-01
1.776456832885742188e+00,8.310999869999999845e-01,8.011061266653972668e-01,2.500038629778894572e-01
1.792426109313964844e+00,9.223999980000000543e-01,7.853981633974482790e-01,2.716924798561407561e-01
