Times (s), Currents (A), Velocities (rads^-1), Positions(rads)
0,0,3.60836e-08,-3.49646e-08
0.002,0,4.66482e-08,-3.54284e-08
0.004,0,1.84964e-09,-3.01496e-08
0.006,0,-4.15518e-08,-3.49021e-08
0.008,0,-5.16997e-08,-3.53851e-08
0.01,0,-1.84853e-09,-3.01509e-08
0.012,0,2.62508e-10,-3.02896e-08
0.016,0,-5.28457e-08,-3.54183e-08
0.018,0,-5.28811e-09,-3.59012e-08
0.02,0,6.04967e-08,-3.50258e-08
0.022,0,5.94879e-08,-3.53921e-08
0.024,0,8.34542e-09,-3.59141e-08
0.026,0,-5.79203e-08,-3.50487e-08
0.028,0,-5.67651e-08,-3.53988e-08
0.03,0,-7.38444e-09,-3.59016e-08
0.032,0,-8.4271e-09,-3.60707e-08
0.034,0,-5.34143e-08,-3.51915e-08
0.036,0,-1.84736e-09,-3.01541e-08
0.038,0,3.60836e-08,-3.49646e-08
0.04,0,4.66482e-08,-3.54284e-08
0.042,0,1.84964e-09,-3.01496e-08
0.044,0,-4.15518e-08,-3.49021e-08
0.046,0,-5.16997e-08,-3.53851e-08
0.048,0,-1.84853e-09,-3.01509e-08
0.05,0,2.62508e-10,-3.02896e-08
0.052,0,-4.25396e-08,-3.4932e-08
0.054,0,-5.28457e-08,-3.54183e-08
0.056,0,-5.28811e-09,-3.59012e-08
0.058,0,6.04967e-08,-3.50258e-08
0.06,0,5.94879e-08,-3.53921e-08
0.062,0,8.34542e-09,-3.59141e-08
0.064,0,-5.79203e-08,-3.50487e-08
0.066,0,-5.67651e-08,-3.53988e-08
0.068,0,-7.38444e-09,-3.59016e-08
0.07,0,-8.4271e-09,-3.60707e-08
0.072,0,-5.34143e-08,-3.51915e-08
0.074,0,-1.84736e-09,-3.01541e-08
0.076,0,3.60836e-08,-3.49646e-08
0.078,0,4.66482e-08,-3.54284e-08
0.08,0,1.84964e-09,-3.01496e-08
0.082,0,-4.15518e-08,-3.49021e-08
0.084,0,-5.16997e-08,-3.53851e-08
0.086,0,-1.84853e-09,-3.01509e-08
0.088,0,2.62508e-10,-3.02896e-08
0.09,0,-4.25396e-08,-3.4932e-08
0.092,0,-5.28457e-08,-3.54183e-08
0.094,0,-5.28811e-09,-3.59012e-08
0.096,0,6.04967e-08,-3.50258e-08
0.098,0,5.94879e-08,-3.53921e-08
0.1,0,8.34542e-09,-3.59141e-08
0.102,0,-5.79203e-08,-3.50487e-08
0.104,0,-5.67651e-08,-3.53988e-08
0.106,0,-7.38444e-09,-3.59016e-08
0.108,0,-8.4271e-09,-3.60707e-08
0.11,0,-5.34143e-08,-3.51915e-08
0.112,0,-1.84736e-09,-3.01541e-08
0.114,0,3.60836e-08,-3.49646e-08
0.116,0,4.66482e-08,-3.54284e-08
0.118,0,1.84964e-09,-3.01496e-08
0.12,0,-4.15518e-08,-3.49021e-08
0.122,0,-5.16997e-08,-3.53851e-08
0.124,0,-1.84853e-09,-3.01509e-08
0.126,0,2.62508e-10,-3.02896e-08
0.128,0,-4.25396e-08,-3.4932e-08
0.13,0,-5.28457e-08,-3.54183e-08
0.132,0,-5.28811e-09,-3.59012e-08
0.134,0,6.04967e-08,-3.50258e-08
0.136,0,5.94879e-08,-3.53921e-08
0.138,0,8.34542e-09,-3.59141e-08
0.14,0,-5.79203e-08,-3.50487e-08
0.142,0,-5.67651e-08,-3.53988e-08
0.144,0,-7.38444e-09,-3.59016e-08
0.146,0,-8.4271e-09,-3.60707e-08
0.148,0,-5.34143e-08,-3.51915e-08
0.15,0,-1.84736e-09,-3.01541e-08
0.152,0,3.60836e-08,-3.49646e-08
0.154,0,4.66482e-08,-3.54284e-08
0.156,0,1.84964e-09,-3.01496e-08
0.158,0,-4.15518e-08,-3.49021e-08
0.16,0,-5.16997e-08,-3.53851e-08
0.162,0,-1.84853e-09,-3.01509e-08
0.164,0,2.62508e-10,-3.02896e-08
0.166,0,-4.25396e-08,-3.4932e-08
0.168,0,-5.28457e-08,-3.54183e-08
0.17,0,-5.28811e-09,-3.59012e-08
0.172,0,6.04967e-08,-3.50258e-08
0.174,0,5.94879e-08,-3.53921e-08
0.176,0,8.34542e-09,-3.59141e-08
0.178,0,-5.79203e-08,-3.50487e-08
0.18,0,-5.67651e-08,-3.53988e-08
0.182,0,-7.38444e-09,-3.59016e-08
0.184,0,-8.4271e-09,-3.60707e-08
0.186,0,-5.34143e-08,-3.51915e-08
0.188,0,-1.84736e-09,-3.01541e-08
0.19,0,3.60836e-08,-3.49646e-08
0.192,0,4.66482e-08,-3.54284e-08
0.194,0,1.84964e-09,-3.01496e-08
0.196,0,-4.15518e-08,-3.49021e-08
0.198,0,-5.16997e-08,-3.53851e-08
0.2,0,-1.84853e-09,-3.01509e-08
0.202,0,2.62508e-10,-3.02896e-08
0.204,0,-4.25396e-08,-3.4932e-08
0.206,0,-5.28457e-08,-3.54183e-08
0.208,0,-5.28811e-09,-3.59012e-08
0.21,0,6.04967e-08,-3.50258e-08
0.212,0,5.94879e-08,-3.53921e-08
0.214,0,8.34542e-09,-3.59141e-08
0.216,0,-5.79203e-08,-3.50487e-08
0.218,0,-5.67651e-08,-3.53988e-08
0.22,0,-7.38444e-09,-3.59016e-08
0.222,0,-8.4271e-09,-3.60707e-08
0.224,0,-5.34143e-08,-3.51915e-08
0.226,0,-1.84736e-09,-3.01541e-08
0.228,0,3.60836e-08,-3.49646e-08
0.23,0,4.66482e-08,-3.54284e-08
0.232,0,1.84964e-09,-3.01496e-08
0.234,0,-4.15518e-08,-3.49021e-08
0.236,0,-5.16997e-08,-3.53851e-08
0.238,0,-1.84853e-09,-3.01509e-08
0.24,0,2.62508e-10,-3.02896e-08
0.242,0,-4.25396e-08,-3.4932e-08
0.244,0,-5.28457e-08,-3.54183e-08
0.246,0,-5.28811e-09,-3.59012e-08
0.248,0,6.04967e-08,-3.50258e-08
0.25,0,5.94879e-08,-3.53921e-08
0.252,0,8.34542e-09,-3.59141e-08
0.254,0,-5.79203e-08,-3.50487e-08
0.256,0,-5.67651e-08,-3.53988e-08
0.258,0,-7.38444e-09,-3.59016e-08
0.26,0,-8.4271e-09,-3.60707e-08
0.262,0,-5.34143e-08,-3.51915e-08
0.264,0,-1.84736e-09,-3.01541e-08
0.266,0,3.60836e-08,-3.49646e-08
0.268,0,4.66482e-08,-3.54284e-08
0.27,0,1.84964e-09,-3.01496e-08
0.272,0,-4.15518e-08,-3.49021e-08
0.274,0,-5.16997e-08,-3.53851e-08
0.276,0,-1.84853e-09,-3.01509e-08
