Time, Currents, Velocities, Positions
3.145456314086914062e-03,1.269999999999999948e-02,0.000000000000000000e+00,2.426880324898115018e-02
1.399564743041992188e-02,-1.689999899999999888e-02,0.000000000000000000e+00,2.426880324898115018e-02
2.459740638732910156e-02,7.900000000000000772e-03,0.000000000000000000e+00,2.426880324898115018e-02
3.499341011047363281e-02,5.000000000000000104e-04,0.000000000000000000e+00,2.426880324898115018e-02
4.554319381713867188e-02,1.290000000000000001e-02,0.000000000000000000e+00,2.426880324898115018e-02
5.589747428894042969e-02,-4.400000000000000265e-03,0.000000000000000000e+00,2.426880324898115018e-02
6.617975234985351562e-02,7.930000099999999497e-02,0.000000000000000000e+00,2.426880324898115018e-02
7.671594619750976562e-02,7.930000099999999497e-02,0.000000000000000000e+00,2.426880324898115018e-02
8.738923072814941406e-02,9.669999799999999535e-02,0.000000000000000000e+00,2.426880324898115018e-02
9.780073165893554688e-02,9.669999799999999535e-02,0.000000000000000000e+00,2.426880324898115018e-02
1.082768440246582031e-01,1.410000030000000126e-01,0.000000000000000000e+00,2.430021917551705019e-02
1.184744834899902344e-01,1.585000010000000015e-01,0.000000000000000000e+00,2.430021917551705019e-02
1.288206577301025391e-01,1.845999959999999884e-01,1.570796326794896350e-02,2.436305102858884325e-02
1.391494274139404297e-01,2.170999939999999906e-01,1.570796326794896350e-02,2.438661297349076912e-02
1.495656967163085938e-01,2.606000010000000255e-01,1.570796326794896350e-02,2.444347572512252029e-02
1.599943637847900391e-01,2.579000000000000181e-01,0.000000000000000000e+00,2.445729880819653979e-02
1.702888011932373047e-01,3.003000020000000103e-01,1.570796326794896350e-02,2.458893161578017475e-02
1.809434890747070312e-01,3.197999890000000067e-01,0.000000000000000000e+00,2.458296251434012938e-02
1.915979385375976562e-01,3.594999910000000187e-01,1.570796326794896350e-02,2.469480313740970295e-02
2.018628120422363281e-01,3.596999940000000229e-01,0.000000000000000000e+00,2.470862622048372245e-02
2.121374607086181641e-01,4.422999919999999752e-01,1.570796326794896350e-02,2.480287400009141552e-02
2.222874164581298828e-01,4.009000059999999754e-01,0.000000000000000000e+00,2.480287400009141552e-02
2.324578762054443359e-01,4.596999880000000038e-01,1.570796326794896350e-02,2.488738291787120568e-02
2.428150177001953125e-01,4.620000120000000154e-01,0.000000000000000000e+00,2.489712177969910858e-02
2.533760070800781250e-01,4.860999879999999829e-01,0.000000000000000000e+00,2.495995363277090512e-02
2.637941837310791016e-01,4.614000019999999758e-01,0.000000000000000000e+00,2.495995363277090512e-02
2.741034030914306641e-01,5.120999809999999819e-01,1.570796326794896350e-02,2.512488724708436885e-02
2.843406200408935547e-01,5.393999809999999728e-01,1.570796326794896350e-02,2.514467943474002487e-02
2.946996688842773438e-01,5.692999960000000303e-01,3.141592653589792700e-02,2.533694475120168085e-02
3.049883842468261719e-01,5.620999930000000200e-01,3.141592653589792700e-02,2.540574570571352275e-02
3.155603408813476562e-01,5.924000139999999748e-01,4.712388980384689396e-02,2.574535179616835312e-02
3.257725238800048828e-01,5.928000209999999548e-01,4.712388980384689396e-02,2.582986071394814329e-02
3.362436294555664062e-01,6.389999990000000407e-01,4.712388980384689396e-02,2.624015263910874779e-02
3.464639186859130859e-01,6.651999950000000439e-01,6.283185307179585399e-02,2.636990056964004514e-02
3.569054603576660156e-01,6.895999910000000233e-01,6.283185307179585399e-02,2.690397132075031048e-02
3.674480915069580078e-01,7.182999850000000297e-01,4.712388980384689396e-02,2.703340478414016992e-02
3.779480457305908203e-01,7.293999789999999761e-01,6.283185307179585399e-02,2.760077634198026056e-02
3.884520530700683594e-01,7.842000129999999736e-01,9.424777960769378793e-02,2.780906408570971156e-02
3.990395069122314453e-01,7.358999849999999787e-01,7.853981633974482790e-02,2.845686034008347923e-02
4.095995426177978516e-01,6.349999899999999586e-01,9.424777960769378793e-02,2.866514808381293022e-02
4.200367927551269531e-01,7.268000249999999607e-01,1.256637061435917080e-01,2.970972764113153849e-02
